id;lname;fname;additional;dob;is_alive
1074;Reeve;Christopher;Libra;1952-09-25;false
1075;Putin;Vladimir V;Libra;1952-10-07;true
1076;Benigni;Roberto;Scorpio;1952-10-27;true
1077;Petraeus;David H;Scorpio;1952-11-07;true
1078;Patinkin;Mandy;Sagittarius;1952-11-30;true
1079;Levy;Harold O;Sagittarius;1952-12-14;true
1080;Taymor;Julie;Sagittarius;1952-12-15;true
1081;Kristol;William;Capricorn;1952-12-23;true
1082;Gelb;Peter;Capricorn;1953-01-01;true
1083;Tenet;George J;Capricorn;1953-01-05;true
1084;Allen;Paul;Aquarius;1953-01-21;false
1085;Jarmusch;Jim;Aquarius;1953-01-22;true
1086;Steenburgen;Mary;Aquarius;1953-02-08;true
1087;Bush;Jeb;Aquarius;1953-02-11;true
1088;Ebersole;Christine;Pisces;1953-02-21;true
1089;Krugman;Paul;Pisces;1953-02-28;true
1090;Feingold;Russell D;Pisces;1953-03-02;false
1091;Chafee;Lincoln;Aries;1953-03-26;true
1092;Chao;Elaine L;Aries;1953-03-26;true
1093;Blair;Tony;Taurus;1953-05-06;true
1094;Brosnan;Pierce;Taurus;1953-05-16;true
1095;West;Cornel;Gemini;1953-06-02;true
1096;Edwards;John;Gemini;1953-06-10;true
1097;Allen;Tim;Gemini;1953-06-13;true
1098;Bhutto;Benazir;Gemini;1953-06-21;false
1099;Lauper;Cyndi;Cancer;1953-06-22;true
1100;Friedman;Thomas L;Cancer;1953-07-20;true
1101;Burns;Ken;Leo;1953-07-29;true
1102;Gifford;Kathie Lee;Leo;1953-08-16;true
1103;Hernandez;Keith;Libra;1953-10-20;true
1104;Miller;Dennis;Scorpio;1953-11-03;true
1105;Brown;Tina;Scorpio;1953-11-21;true
1106;Chertoff;Michael;Sagittarius;1953-11-28;true
1107;Basinger;Kim;Sagittarius;1953-12-08;true
1108;Malkovich;John;Sagittarius;1953-12-09;true
1109;Bernanke;Ben S;Sagittarius;1953-12-13;true
1110;Menendez;Robert;Capricorn;1954-01-01;true
1111;Stern;Howard;Capricorn;1954-01-12;true
1112;Winfrey;Oprah;Aquarius;1954-01-29;true
1113;Travolta;John;Aquarius;1954-02-18;true
1114;Erdogan;Recep Tayyip;Pisces;1954-02-26;true
1115;Howard;Ron;Pisces;1954-03-01;true
1116;Abramson;Jill;Pisces;1954-03-19;true
1117;Chan;Jackie;Aries;1954-04-07;true
1118;Quaid;Dennis;Aries;1954-04-09;true
1119;Krakauer;Jon;Aries;1954-04-12;true
1120;Moore;Michael;Taurus;1954-04-23;true
1121;Seinfeld;Jerry;Taurus;1954-04-29;true
1122;Campion;Jane;Taurus;1954-04-30;true
1123;McCain;Cindy;Taurus;1954-05-20;true
1124;Erdrich;Louise;Gemini;1954-06-07;true
1125;Turner;Kathleen;Gemini;1954-06-19;true
1126;Sotomayor;Sonia;Cancer;1954-06-25;true
1127;Merkel;Angela;Cancer;1954-07-17;true
1128;Payton;Walter;Leo;1954-07-25;false
1129;McChrystal;Stanley A;Leo;1954-08-14;true
1130;Cameron;James;Leo;1954-08-16;true
1131;Roker;Al;Leo;1954-08-20;true
1132;Costello;Elvis;Virgo;1954-08-25;true
1133;Fiorina;Carleton S;Virgo;1954-09-06;true
1134;Lee;Ang;Libra;1954-10-23;true
1135;Rice;Condoleezza;Scorpio;1954-11-14;true
1136;Summers;Lawrence H;Sagittarius;1954-11-30;true
1137;Warner;Mark R;Sagittarius;1954-12-15;true
1138;Evert;Chris;Sagittarius;1954-12-21;true
1139;Washington;Denzel;Capricorn;1954-12-28;true
1140;Costner;Kevin;Capricorn;1955-01-18;true
1141;Bush;Neil;Aquarius;1955-01-22;true
1142;Roberts;John G Jr;Aquarius;1955-01-27;true
1143;Pollan;Michael;Aquarius;1955-02-06;true
1144;Grisham;John;Aquarius;1955-02-08;true
1145;Cramer;James J;Aquarius;1955-02-10;true
1146;Daniels;Jeff;Pisces;1955-02-19;true
1147;Grammer;Kelsey;Pisces;1955-02-21;true
1148;Axelrod;David;Pisces;1955-02-22;true
1149;Jobs;Steven P;Pisces;1955-02-24;false
1150;Sinise;Gary;Pisces;1955-03-17;true
1151;Willis;Bruce;Pisces;1955-03-19;true
1152;von Otter;Anne Sofie;Taurus;1955-05-09;true
1153;Graham;Lindsey;Cancer;1955-07-09;true
1154;Smits;Jimmy;Cancer;1955-07-09;true
1155;Dafoe;Willem;Cancer;1955-07-22;true
1156;Cohen;Roger;Leo;1955-08-02;true
1157;Gonzales;Alberto R;Leo;1955-08-04;true
1158;Thornton;Billy Bob;Leo;1955-08-04;true
1159;Gerberding;Julie L;Leo;1955-08-22;true
1160;Huckabee;Mike;Virgo;1955-08-24;true
1161;Ifill;Gwen;Libra;1955-09-29;false
1162;Ma;Yo-Yo;Libra;1955-10-07;true
1163;Gates;Bill;Scorpio;1955-10-28;true
1164;Goldberg;Whoopi;Scorpio;1955-11-13;true
1165;Bayh;Evan;Capricorn;1955-12-26;true
1166;Gibson;Mel;Capricorn;1956-01-03;true
1167;Heppner;Ben;Capricorn;1956-01-14;true
1168;Maher;Bill;Capricorn;1956-01-20;true
1169;Lane;Nathan;Aquarius;1956-02-03;true
1170;Hall;Arsenio;Aquarius;1956-02-12;true
1171;Dimon;James;Pisces;1956-03-13;true
1172;Ballmer;Steven A;Aries;1956-03-24;true
1173;Leonard;Sugar Ray;Taurus;1956-05-17;true
1174;Montana;Joe;Gemini;1956-06-11;true
1175;Hanks;Tom;Cancer;1956-07-09;true
1176;Hill;Anita;Leo;1956-07-30;true
1177;Zambello;Francesca;Virgo;1956-08-24;true
1178;Brownback;Sam;Virgo;1956-09-12;true
1179;Alsop;Marin;Libra;1956-10-16;true
1180;Navratilova;Martina;Libra;1956-10-18;true
1181;Boyle;Danny;Libra;1956-10-20;true
1182;Fisher;Carrie;Libra;1956-10-21;false
1183;Bird;Larry;Sagittarius;1956-12-07;true
1184;Blagojevich;Rod R;Sagittarius;1956-12-10;true
1185;Sedaris;David;Capricorn;1956-12-26;true
1186;McAuliffe;Terry;Aquarius;1957-02-09;true
1187;Bin Laden;Osama;Pisces;1957-03-10;false
1188;Lee;Spike;Pisces;1957-03-20;true
1189;Day-Lewis;Daniel;Taurus;1957-04-22;true
1190;Griffith;Melanie;Leo;1957-08-09;true
1191;Leary;Denis;Leo;1957-08-18;true
1192;Fry;Stephen;Virgo;1957-08-24;true
1193;Estefan;Gloria;Virgo;1957-09-01;true
1194;Simmons;Russell;Libra;1957-10-04;true
1195;Lovett;Lyle;Scorpio;1957-11-01;true
1196;Deutsch;Donny;Scorpio;1957-11-22;true
1197;Napolitano;Janet;Sagittarius;1957-11-29;true
1198;Cuomo;Andrew M;Sagittarius;1957-12-06;true
1199;Buscemi;Steve;Sagittarius;1957-12-13;true
1200;Amanpour;Christiane;Capricorn;1958-01-12;true
1201;DeGeneres;Ellen;Aquarius;1958-01-26;true
1202;Abramoff;Jack;Pisces;1958-02-28;true
1203;Stone;Sharon;Pisces;1958-03-10;true
1204;Hunter;Holly;Pisces;1958-03-20;true
1205;Molinari;Susan;Aries;1958-03-27;true
1206;Baldwin;Alec;Aries;1958-04-03;true
1207;Pfeiffer;Michelle;Taurus;1958-04-29;true
1208;Santorum;Rick;Taurus;1958-05-10;true
1209;Bening;Annette;Gemini;1958-05-29;true
1210;Boggs;Wade;Gemini;1958-06-15;true
1211;Bacon;Kevin;Cancer;1958-07-08;true
1212;Cuban;Mark;Leo;1958-07-31;true
1213;Case;Stephen M;Leo;1958-08-21;true
1214;Burton;Tim;Virgo;1958-08-25;true
1215;Jackson;Michael;Virgo;1958-08-29;false
1216;Bocelli;Andrea;Virgo;1958-09-22;true
1217;Robbins;Tim;Libra;1958-10-16;true
1218;Remnick;David;Scorpio;1958-10-29;true
1219;Curtis;Jamie Lee;Scorpio;1958-11-22;true
1220;Mitchell;Elvis;Sagittarius;1958-12-06;true
1221;Neuwirth;Bebe;Capricorn;1958-12-31;true
1222;Olbermann;Keith;Aquarius;1959-01-27;true
1223;Fleming;Renee;Aquarius;1959-02-14;true
1224;McEnroe;John;Aquarius;1959-02-16;true
1225;Goodell;Roger;Pisces;1959-02-19;true
1226;Pierce;David Hyde;Aries;1959-04-03;true
1227;Thompson;Emma;Aries;1959-04-15;true
1228;Simpson;Nicole Brown;Taurus;1959-05-19;false
1229;Spitzer;Eliot L;Gemini;1959-06-10;true
1230;Vega;Suzanne;Cancer;1959-07-11;true
1231;Spacey;Kevin;Leo;1959-07-26;true
1232;Kors;Michael;Leo;1959-08-09;true
1233;Harden;Marcia Gay;Leo;1959-08-14;true
1234;Johnson;Earvin;Leo;1959-08-14;true
1235;Alexander;Jason;Virgo;1959-09-23;true
1236;Lin;Maya;Libra;1959-10-05;true
1237;Cowell;Simon;Libra;1959-10-07;true
1238;Emanuel;Rahm;Sagittarius;1959-11-29;true
1239;Bono;;Taurus;1960-05-10;true
1240;Sanford;Mark;Gemini;1960-05-28;true
1241;Frum;David;Cancer;1960-06-30;true
1242;Burnett;Mark;Cancer;1960-07-17;true
1243;Upshaw;Dawn;Cancer;1960-07-17;true
1244;Voigt;Deborah;Leo;1960-08-04;true
1245;Duchovny;David;Leo;1960-08-07;true
1246;Banderas;Antonio;Leo;1960-08-10;true
1247;Packer;George;Leo;1960-08-13;true
1248;Penn;Sean;Leo;1960-08-17;true
1249;Marsalis;Branford;Virgo;1960-08-26;true
1250;Grant;Hugh;Virgo;1960-09-09;true
1251;Firth;Colin;Virgo;1960-09-10;true
1252;Fleischer;Ari;Libra;1960-10-13;true
1253;Marshall;Rob;Libra;1960-10-17;true
1254;Swinton;Tilda;Scorpio;1960-11-05;true
1255;Tucci;Stanley;Scorpio;1960-11-11;true
1256;Pawlenty;Tim;Sagittarius;1960-11-27;true
1257;Moore;Julianne;Sagittarius;1960-12-03;true
1258;Branagh;Kenneth;Sagittarius;1960-12-10;true
1259;Brinkley;Douglas;Sagittarius;1960-12-14;true
1260;Comey;James B;Sagittarius;1960-12-14;true
1261;Salerno-Sonnenberg;Nadja;Capricorn;1961-01-10;true
1262;Gretzky;Wayne;Aquarius;1961-01-26;true
1263;Stephanopoulos;George;Aquarius;1961-02-10;true
1264;Murphy;Eddie;Aries;1961-04-03;true
1265;Clooney;George;Taurus;1961-05-06;true
1266;de Blasio;Bill;Taurus;1961-05-08;true
1267;Begala;Paul;Taurus;1961-05-12;true
1268;Rodman;Dennis;Taurus;1961-05-13;true
1269;Fox;Michael J;Gemini;1961-06-09;true
1270;Sorkin;Aaron;Gemini;1961-06-09;true
1271;Harrelson;Woody;Leo;1961-07-23;true
1272;Obama;Barack;Leo;1961-08-04;true
1273;Ford;Tom;Virgo;1961-08-27;true
1274;Gandolfini;James;Virgo;1961-09-18;false
1275;Marsalis;Wynton;Libra;1961-10-18;true
1276;Lang;K D;Scorpio;1961-11-02;true
1277;Ryan;Meg;Scorpio;1961-11-19;true
1278;Cuaron;Alfonso;Sagittarius;1961-11-28;true
1279;Carrey;Jim;Capricorn;1962-01-17;true
1280;Junger;Sebastian;Capricorn;1962-01-17;true
1281;Abdullah II;King of Jordan;Aquarius;1962-01-30;true
1282;Leigh;Jennifer Jason;Aquarius;1962-02-05;true
1283;Brooks;Garth;Aquarius;1962-02-07;true
1284;Crow;Sheryl;Aquarius;1962-02-11;true
1285;Wallace;David Foster;Pisces;1962-02-21;false
1286;Bon Jovi;Jon;Pisces;1962-03-02;true
1287;Joyner-Kersee;Jackie;Pisces;1962-03-03;true
1288;Strawberry;Darryl;Pisces;1962-03-12;true
1289;Broderick;Matthew;Aries;1962-03-21;true
1290;Cruise;Tom;Cancer;1962-07-03;true
1291;Chavez;Julio Cesar;Cancer;1962-07-12;true
1292;Clemens;Roger;Leo;1962-08-04;true
1293;Ewing;Patrick;Leo;1962-08-05;true
1294;Carell;Steve;Leo;1962-08-16;true
1295;Calderon;Felipe;Leo;1962-08-18;true
1296;Hvorostovsky;Dmitri;Libra;1962-10-16;false
1297;Moore;Demi;Scorpio;1962-11-11;true
1298;Foster;Jodie;Scorpio;1962-11-19;true
1299;Stewart;Jon;Sagittarius;1962-11-28;true
1300;Fiennes;Ralph;Capricorn;1962-12-22;true
1301;Spade;Kate;Capricorn;1962-12-24;false
1302;Soderbergh;Steven;Capricorn;1963-01-14;true
1303;Jordan;Michael;Aquarius;1963-02-17;true
1304;Barkley;Charles;Pisces;1963-02-20;true
1305;Baldwin;William;Pisces;1963-02-21;true
1306;Tarantino;Quentin;Aries;1963-03-27;true
1307;Kasparov;Garry;Aries;1963-04-13;true
1308;Richardson;Natasha;Taurus;1963-05-11;false
1309;Alagna;Roberto;Gemini;1963-06-07;true
1310;Depp;Johnny;Gemini;1963-06-09;true
1311;Hunt;Helen;Gemini;1963-06-15;true
1312;Khodorkovsky;Mikhail B;Cancer;1963-06-26;true
1313;Falco;Edie;Cancer;1963-07-05;true
1314;Houston;Whitney;Leo;1963-08-09;false
1315;Sullivan;Andrew;Leo;1963-08-10;true
1316;Plame;Valerie;Leo;1963-08-13;true
1317;McGwire;Mark;Libra;1963-10-01;true
1318;Pearl;Daniel;Libra;1963-10-10;false
1319;Pitt;Brad;Sagittarius;1963-12-18;true
1320;Cage;Nicolas;Capricorn;1964-01-07;true
1321;Bezos;Jeffrey P;Capricorn;1964-01-12;true
1322;Obama;Michelle;Capricorn;1964-01-17;true
1323;Linney;Laura;Aquarius;1964-02-05;true
1324;Palin;Sarah;Aquarius;1964-02-11;true
1325;Binoche;Juliette;Pisces;1964-03-09;true
1326;Ferguson;Niall;Aries;1964-04-18;true
1327;Colbert;Stephen;Taurus;1964-05-13;true
1328;Canseco;Jose;Cancer;1964-07-02;true
1329;Love;Courtney;Cancer;1964-07-09;true
1330;Bullock;Sandra;Leo;1964-07-26;true
1331;Parker;Mary-Louise;Leo;1964-08-02;true
1332;Gates;Melinda;Leo;1964-08-15;true
1333;Reeves;Keanu;Virgo;1964-09-02;true
1334;Weiner;Anthony D;Virgo;1964-09-04;true
1335;Perez;Rosie;Virgo;1964-09-06;true
1336;Sununu;John E;Virgo;1964-09-10;true
1337;Bruni;Frank;Scorpio;1964-10-31;true
1338;Duncan;Arne;Scorpio;1964-11-06;true
1339;Krall;Diana;Scorpio;1964-11-16;true
1340;Cheadle;Don;Sagittarius;1964-11-29;true
1341;Hamilton;Darryl;Sagittarius;1964-12-03;false
1342;Tomei;Marisa;Sagittarius;1964-12-04;true
1343;Cumming;Alan;Aquarius;1965-01-27;true
1344;Rock;Chris;Aquarius;1965-02-07;true
1345;Dell;Michael S;Pisces;1965-02-23;true
1346;Parker;Sarah Jessica;Aries;1965-03-25;true
1347;King;Rodney Glen;Aries;1965-04-02;false
1348;Lawrence;Martin;Aries;1965-04-16;true
1349;Reilly;John C;Gemini;1965-05-24;true
1350;Shields;Brooke;Gemini;1965-05-31;true
1351;Rowling;J K;Leo;1965-07-31;true
1352;Mendes;Sam;Leo;1965-08-01;true
1353;Twain;Shania;Virgo;1965-08-28;true
1354;Gheorghiu;Angela;Virgo;1965-09-07;true
1355;Moby;;Virgo;1965-09-11;true
1356;Pippen;Scottie;Libra;1965-09-25;true
1357;Rockwell;Sam;Scorpio;1965-11-05;true
1358;Terfel;Bryn;Scorpio;1965-11-09;true
1359;Stiller;Ben;Sagittarius;1965-11-30;true
1360;Kennedy;Carolyn Bessette;Capricorn;1966-01-07;false
1361;Nixon;Cynthia;Aries;1966-04-09;true
1362;Jackson;Janet;Taurus;1966-05-16;true
1363;Bartoli;Cecilia;Gemini;1966-06-04;true
1364;Cusack;John;Cancer;1966-06-28;true
1365;Tyson;Mike;Cancer;1966-06-30;true
1366;Scott;A O;Cancer;1966-07-10;true
1367;Berry;Halle;Leo;1966-08-14;true
1368;Sandler;Adam;Virgo;1966-09-09;true
1369;Cameron;David;Libra;1966-10-09;true
1370;Drudge;Matt;Scorpio;1966-10-27;true
1371;Gillibrand;Kirsten E;Sagittarius;1966-12-09;true
1372;Sutherland;Kiefer;Sagittarius;1966-12-21;true
1373;Kelly;R;Capricorn;1967-01-08;true
1374;Del Toro;Benicio;Pisces;1967-02-19;true
1375;Cobain;Kurt;Pisces;1967-02-20;false
1376;Kidman;Nicole;Gemini;1967-06-20;true
1377;Ferrell;Will;Cancer;1967-07-16;true
1378;Hoffman;Philip Seymour;Leo;1967-07-23;false
1379;Sanders;Deion;Leo;1967-08-09;true
1380;Roberts;Julia;Scorpio;1967-10-28;true
1381;Kimmel;Jimmy;Scorpio;1967-11-13;true
1382;Smith;Anna Nicole;Sagittarius;1967-11-28;false
1383;Apatow;Judd;Sagittarius;1967-12-06;true
1384;Bell;Joshua;Sagittarius;1967-12-09;true
1385;Foxx;Jamie;Sagittarius;1967-12-13;true
1386;Burns;Edward;Aquarius;1968-01-29;true
1387;Dion;Celine;Aries;1968-03-30;true
1388;Judd;Ashley;Aries;1968-04-19;true
1389;Mcveigh;Timothy James;Taurus;1968-04-23;false
1390;Chenoweth;Kristin;Leo;1968-07-24;true
1391;Smith;Will;Libra;1968-09-25;true
1392;Jackman;Hugh;Libra;1968-10-12;true
1393;Posey;Parker;Scorpio;1968-11-08;true
1394;Aniston;Jennifer;Aquarius;1969-02-11;true
1395;Bardem;Javier;Pisces;1969-03-01;true
1396;Carey;Mariah;Aries;1969-03-27;true
1397;Rudd;Paul;Aries;1969-04-06;true
1398;Zellweger;Renee;Taurus;1969-04-25;true
1399;Anderson;Wes;Taurus;1969-05-01;true
1400;Blanchett;Cate;Taurus;1969-05-14;true
1401;Carlson;Tucker;Taurus;1969-05-16;true
1402;Heche;Anne;Gemini;1969-05-25;true
1403;Slater;Christian;Leo;1969-08-18;true
1404;Boot;Max;Virgo;1969-09-12;true
1405;Zeta-Jones;Catherine;Libra;1969-09-25;true
1406;Favre;Brett;Libra;1969-10-10;true
1407;Kerrigan;Nancy;Libra;1969-10-13;true
1408;McConaughey;Matthew;Scorpio;1969-11-04;true
1409;Jay-Z;;Sagittarius;1969-12-04;true
1410;Queen Latifah;;Pisces;1970-03-18;true
1411;Agassi;Andre;Taurus;1970-04-29;true
1412;Thurman;Uma;Taurus;1970-04-29;true
1413;Fey;Tina;Taurus;1970-05-18;true
1414;Brown;Jason Robert;Gemini;1970-06-20;true
1415;Shyamalan;M Night;Leo;1970-08-06;true
1416;Power;Samantha;Virgo;1970-09-21;true
1417;Damon;Matt;Libra;1970-10-08;true
1418;Hawke;Ethan;Scorpio;1970-11-06;true
1419;Harding;Tonya;Scorpio;1970-11-12;true
1420;Silverman;Sarah;Sagittarius;1970-12-01;true
1421;Blige;Mary J;Capricorn;1971-01-11;true
1422;Coppola;Sofia;Taurus;1971-05-14;true
1423;Menzel;Idina;Gemini;1971-05-30;true
1424;Jindal;Bobby;Gemini;1971-06-10;true
1425;Shakur;Tupac;Gemini;1971-06-16;false
1426;Armstrong;Lance;Virgo;1971-09-18;true
1427;Ryder;Winona;Scorpio;1971-10-29;true
1428;Martin;Ricky;Capricorn;1971-12-24;true
1429;Affleck;Ben;Leo;1972-08-15;true
1430;Diaz;Cameron;Virgo;1972-08-30;true
1431;Paltrow;Gwyneth;Libra;1972-09-27;true
1432;Eminem;;Libra;1972-10-17;true
1433;Osgood;Chris;Sagittarius;1972-11-26;true
1434;Law;Jude;Capricorn;1972-12-29;true
1435;de La Hoya;Oscar;Aquarius;1973-02-04;true
1436;Page;Larry;Aries;1973-03-26;true
1437;Brody;Adrien;Aries;1973-04-14;true
1438;Wainwright;Rufus;Cancer;1973-07-22;true
1439;Lewinsky;Monica S;Leo;1973-07-23;true
1440;Beckinsale;Kate;Leo;1973-07-26;true
1441;Brin;Sergey;Leo;1973-08-21;true
1442;Bale;Christian;Aquarius;1974-01-30;true
1443;Barrymore;Drew;Pisces;1974-02-22;true
1444;Cruz;Penelope;Taurus;1974-04-28;true
1445;Morissette;Alanis;Gemini;1974-06-01;true
1446;Jeter;Derek;Cancer;1974-06-26;true
1447;Swank;Hilary;Cancer;1974-07-12;true
1448;Phoenix;Joaquin;Scorpio;1974-10-28;true
1449;DiCaprio;Leonardo;Scorpio;1974-11-11;true
1450;Beckham;David;Taurus;1975-05-02;true
1451;Jolie;Angelina;Gemini;1975-06-04;true
1452;Rodriguez;Alex;Leo;1975-07-27;true
1453;Theron;Charlize;Leo;1975-08-07;true
1454;Winslet;Kate;Libra;1975-10-05;true
1455;Woods;Tiger;Capricorn;1975-12-30;true
1456;Manning;Peyton;Aries;1976-03-24;true
1457;Farrell;Colin;Gemini;1976-05-31;true
1458;Shepard;Matthew;Sagittarius;1976-12-01;false
1459;Sorkin;Andrew Ross;Pisces;1977-02-19;true
1460;West;Kanye;Gemini;1977-06-08;true
1461;Brady;Tom;Leo;1977-08-03;true
1462;Gyllenhaal;Maggie;Scorpio;1977-11-16;true
1463;Bryant;Kobe;Virgo;1978-08-23;false
1464;Shepard;Sam;Capricorn;1979-01-16;false
1465;Jones;Norah;Aries;1979-03-30;true
1466;Ledger;Heath;Aries;1979-04-04;false
1467;Danes;Claire;Aries;1979-04-12;true
1468;Hudson;Kate;Aries;1979-04-19;true
1469;Carr;David;Cancer;1979-07-21;false
1470;Keys;Alicia;Aquarius;1980-01-25;true
1471;Ricci;Christina;Aquarius;1980-02-12;true
1472;Clinton;Chelsea;Pisces;1980-02-27;true
1473;Williams;Venus;Gemini;1980-06-17;true
1474;Simpson;Jessica;Cancer;1980-07-10;true
1475;Culkin;Macaulay;Virgo;1980-08-26;true
1476;Gyllenhaal;Jake;Sagittarius;1980-12-19;true
1477;Timberlake;Justin;Aquarius;1981-01-31;true
1478;Hilton;Paris;Aquarius;1981-02-17;true
1479;Knowles;Beyonce;Virgo;1981-09-04;true
1480;Williams;Serena;Libra;1981-09-26;true
1481;Bush;Jenna;Sagittarius;1981-11-25;true
1482;Spears;Britney;Sagittarius;1981-12-02;true
1483;Clarkson;Kelly;Taurus;1982-04-24;true
1484;Lipinski;Tara;Gemini;1982-06-10;true
1485;Winehouse;Amy;Virgo;1983-09-14;false
1486;Johansson;Scarlett;Scorpio;1984-11-22;true
1487;James;LeBron;Capricorn;1984-12-30;true
1488;Phelps;Michael;Cancer;1985-06-30;true
1489;Nadal;Rafael;Gemini;1986-06-03;true
1490;Lohan;Lindsay;Cancer;1986-07-02;true
1491;Pistorius;Oscar;Scorpio;1986-11-22;true
1492;Radcliffe;Daniel;Leo;1989-07-23;true
1493;Shankar;Ravi;Scorpio;1920-04-07;false
1494;Cyrus;Miley;Sagittarius;1992-11-23;true
1495;Onassis;Jacqueline Kennedy;Taurus;1929-07-28;false
